ID,X-coord,Y-coord,SMZ,outlier,Soybean yield (kg/ha),ECa (mS m),Clay (%),Silt (%),Sand (%),pH(water),SOM (%),P(mg/kg),K(mg/kg),Ca(cmolc/kg),Mg(cmolc/kg),SB(cmolc/kg),Al(cmolc/kg),H+Al(cmolc/kg),AS%,BS%,CTC(cmolc/kg)
1,542488.019,6975548.675,2,no,3511.93,26.64,68,29,3,5.8,3.8,24,81.9,7.7,3.10,11.00,0.00,4.60,0,70,15.5
2,542487.752,6975499.938,2,no,4582.40,28.57,68,29,3,5.9,3.9,23,62.4,8.4,3.40,12.00,0.00,4.90,0,71,16.9
3,542451.559,6975474.032,1,no,4374.20,15.15,66,32,3,5.6,3.6,20,78,8.2,2.80,11.20,0.00,6.60,0,63,17.7
4,542451.929,6975524.098,1,no,4164.53,16.31,76,21,3,5.4,3.7,23,81.9,7.6,2.40,10.10,0.09,7.10,1,59,17.3
5,542453.292,6975575.157,2,no,3453.47,22.77,68,29,3,5.9,3.4,22,66.3,7.4,2.60,10.20,0.00,4.70,0,68,14.9
6,542404.338,6975549.295,2,no,4232.33,23.64,71,27,3,5.8,3.4,24,163.8,9.2,3.10,12.70,0.00,4.80,0,72,17.6
7,542402.591,6975501.339,1,no,4937.60,16.8,76,22,3,5.5,3.7,33,74.1,6.1,2.00,8.40,0.13,7.10,2,54,15.5
8,542402.813,6975450.939,1,no,4973.67,14.97,71,26,3,5.6,4.3,27,183.3,8.3,2.50,11.30,0.00,6.40,0,64,17.6
9,542355.944,6975426.731,2,no,5525.20,22.89,66,31,3,5.7,3.8,41,128.7,8.3,2.70,11.30,0.00,5.40,0,68,16.7
10,542354.934,6975478.352,1,yes,5369.07,21.09,68,29,3,5.8,4.2,38,226.2,9,3.20,12.80,0.00,4.80,0,73,17.6
11,542354.903,6975527.09,2,no,4515.20,21.59,73,24,3,5.8,3.9,30,89.7,8.9,2.90,12.00,0.00,5.40,0,69,17.5
12,542358.818,6975572.491,2,no,3141.33,22.57,71,27,3,6.1,4.0,38,261.3,9,3.40,13.10,0.00,3.90,0,77,17
13,542307.964,6975569.121,2,no,4485.87,23.09,73,24,3,5.4,3.9,32,109.2,7.9,2.40,10.50,0.09,6.90,1,61,17.4
14,542302.562,6975522.617,1,no,5056.47,18.93,76,22,3,5.6,3.6,33,62.4,9.4,2.70,12.20,0.00,5.50,0,69,17.7
15,542299.63,6975475.44,1,no,5180.87,17.59,71,26,3,5.4,4.1,48,128.7,8.7,2.50,11.50,0.04,7.10,0,62,18.7
16,542299.681,6975432.573,2,no,3965.13,26.45,63,35,2,6.4,3.6,36,58.5,10.2,2.60,13.00,0.00,2.90,0,82,15.8
17,542300.701,6975383.721,2,no,4347.40,24.09,66,32,3,6.5,3.6,34,117,8.6,2.40,11.30,0.00,3.40,0,77,14.8
18,542253.073,6975398.173,1,no,4353.40,13.86,71,26,3,6,3.2,46,105.3,8.6,2.40,11.20,0.00,5.10,0,69,16.3
19,542252.856,6975450.124,2,yes,4493.93,21.78,71,26,4,6.3,3.7,75,230.1,10.4,2.80,13.70,0.00,3.60,0,79,17.4
20,542252.337,6975500.746,1,no,4982.27,14.24,71,26,3,5.8,3.6,56,137.15,9,2.45,11.48,0.01,5.07,0,69,17
21,542253.694,6975550.366,2,yes,5031.60,21,68,29,3,6,3.8,70,191.1,8.1,2.50,11.00,0.00,4.30,0,72,15.4
22,542254.564,6975602.313,2,no,5136.13,22.57,66,32,3,6.3,3.1,41,167.7,8.6,2.40,11.50,0.00,3.30,0,78,14.8
23,542255.405,6975645.842,2,no,3836.33,28.16,73,25,2,6.5,2.8,52,81.9,8.7,3.00,12.00,0.00,3.10,0,79,15.1
24,542203.802,6975625.858,2,no,3885.93,32.36,68,30,2,6.9,2.9,58,93.6,9.3,3.70,13.30,0.00,2.30,0,85,15.6
25,542201.263,6975577.683,1,no,4019.80,18.48,73,24,3,6.3,3.4,61,198.9,9.3,2.60,12.50,0.00,3.70,0,77,16.1
26,542203.765,6975528.383,1,no,4099.47,9.41,71,27,3,5.9,3.1,53,109.2,7.3,1.90,9.50,0.00,4.80,0,66,14.3
27,542202.31,6975478.986,2,yes,3397.73,23.31,73,25,2,5.7,3.4,56,101.4,8.4,2.30,11.00,0.00,5.10,0,68,16.1
28,542203.508,6975424.373,1,no,5295.20,17.73,86,12,3,5.8,3.5,57,195,7.9,2.20,10.70,0.00,4.90,0,68,15.6
29,542201.258,6975373.871,1,no,3570.07,16.42,73,24,3,5.6,3.4,67,140.4,8,2.00,10.30,0.00,5.90,0,64,16.2
30,542154.056,6975397.072,1,no,4027.20,12.93,76,22,3,5.4,3.3,55,97.5,7.2,1.80,9.30,0.04,7.30,0,56,16.6
31,542154.434,6975449.685,1,no,4263.80,17.09,78,19,3,5.2,3.8,58,128.7,6.4,1.80,8.50,0.13,7.20,2,54,15.7
32,542153.318,6975499.313,1,no,4197.67,12.83,73,24,3,6,3.2,80,148.2,8.2,2.80,11.40,0.00,4.20,0,73,15.5
33,542150.512,6975546.509,2,no,3636.73,25.77,71,26,3,6,3.6,81,148.2,10.1,3.60,14.10,0.00,4.40,0,76,18.5
34,542151.779,6975598.898,2,no,3907.80,25.7,73,24,3,6.5,3.6,74,136.5,11,4.30,15.60,0.00,2.80,0,85,18.4
35,542151.46,6975650.406,2,no,4413.93,21.27,71,26,3,6.4,3.2,80,210.6,10.2,4.10,14.80,0.00,3.40,0,82,18.2
36,542104.659,6975675.378,2,no,4149.60,24.69,66,30,5,6.3,4.3,122,222.3,11.2,3.60,15.40,0.00,3.30,0,82,18.7
37,542101.409,6975621.667,1,no,3570.60,18.41,66,31,4,5.4,3.6,92,66.3,7.3,2.70,10.10,0.09,6.20,1,62,16.4
38,542100.664,6975577.141,2,no,3955.33,25.57,78,19,3,5.6,3.4,86,120.9,7.8,2.50,10.60,0.00,5.30,0,67,15.9
39,542099.703,6975527.409,1,no,3929.91,14.94,76,22,3,5.5,3.2,69,81.9,6.8,2.40,9.50,0.04,5.40,0,64,14.8
40,542101.498,6975473.902,1,no,3683.04,11.35,73,24,3,6,4.0,78,132.6,8.6,3.30,12.20,0.00,4.00,0,75,16.2
41,542101.228,6975423.615,2,no,3281.13,29.15,66,32,3,5.9,4.1,104,132.6,10.3,3.60,14.20,0.00,4.80,0,74,19
42,542101.358,6975374.655,2,no,3322.93,45.45,76,21,4,6.4,3.8,68,237.9,9.5,3.50,13.70,0.00,2.90,0,82,16.5
43,542047.928,6975369.853,2,no,3995.13,32.15,71,27,3,5.8,3.4,58,132.6,9.1,2.80,12.30,0.00,5.20,0,70,17.5
44,542052.476,6975427.547,2,yes,3533.47,21,76,22,3,5.6,3.2,42,54.6,6.1,2.00,8.20,0.00,6.00,0,58,14.2
45,542052.43,6975472.076,1,no,3257.33,15.45,76,21,3,5.6,3.2,67,89.7,7.4,2.50,10.10,0.00,5.90,0,63,16
46,542001.716,6975451.424,1,no,3516.80,18.62,81,16,4,4.9,3.6,48,105.3,4.6,1.50,6.30,1.03,9.40,14,40,15.7
47,542000.842,6975398.148,1,no,3973.40,17.45,78,19,3,5.4,3.2,35,93.6,6.1,2.10,8.50,0.09,5.90,1,59,14.3
48,542000.191,6975352.182,1,no,3824.67,11.27,76,22,3,5.4,3.3,53,123.5,7,2.17,9.33,0.12,6.53,2,58,16
49,541956.458,6975377.586,1,no,4314.20,9.95,78,19,3,5.1,3.2,66,144.3,5.3,1.60,7.20,0.27,8.50,4,46,15.7
50,541952.964,6975426.224,1,no,3759.60,15.4,78,19,3,5.4,3.4,95,191.1,6.8,2.10,9.40,0.09,7.50,1,56,16.9
