X,Y,Zona_Manejo,Ranking,Soybean yield (kg/ha),ECa (mS m),Clay (%),Silt (%),Sand (%),pH(water),SOM (%),P(mg/kg),K(mg/kg),Ca(cmolc/kg),Mg(cmolc/kg),SB(cmolc/kg),Al(cmolc/kg),H+Al(cmolc/kg),AS%,BS%,CTC(cmolc/kg),Tem_Zero_Al_AS,Outlier_Mahalanobis,Outlier_IsoForest,Score_PC1,Score_PC2,Score_PC3,Score_PC4,Cluster_KMeans,Cluster_Hierarquico
542488.019,6975548.675,Zona 1,31.16332798795402,3511.93,26.64,68,29,3,5.8,3.8,24,81.9,7.7,3.1,11.0,0.0,4.6,0,70,15.5,True,False,False,0.8307281204357543,-0.8283455280421426,-0.5432489330375282,1.723069447612016,0,0
542487.752,6975499.938,Zona 1,84.16475481025094,4582.4,28.57,68,29,3,5.9,3.9,23,62.4,8.4,3.4,12.0,0.0,4.9,0,71,16.9,True,False,False,1.544480007204246,-0.29140062375805903,0.6287795048940588,2.115530586956293,0,0
542451.559,6975474.032,Zona 1,29.77972203022876,4374.2,15.15,66,32,3,5.6,3.6,20,78.0,8.2,2.8,11.2,0.0,6.6,0,63,17.7,True,False,False,0.19044236552664895,-0.832251000787285,1.6523420521342378,2.216559110319613,0,0
542451.929,6975524.098,Zona 2,-101.37934073340199,4164.53,16.31,76,21,3,5.4,3.7,23,81.9,7.6,2.4,10.1,0.09,7.1,1,59,17.3,False,False,False,-2.587830622618825,-0.5377893432038716,1.4469019853631158,0.16369434450215958,1,1
542453.292,6975575.157,Zona 1,-20.509706676916874,3453.47,22.77,68,29,3,5.9,3.4,22,66.3,7.4,2.6,10.2,0.0,4.7,0,68,14.9,True,False,False,0.10497794629084588,-1.7576526016555205,-1.129650063734778,1.5999239624222699,0,0
542404.338,6975549.295,Zona 1,70.77931714244983,4232.33,23.64,71,27,3,5.8,3.4,24,163.8,9.2,3.1,12.7,0.0,4.8,0,72,17.6,True,False,False,1.4943020490015804,0.04362706194547259,0.35435493262427725,0.4793259344940623,0,0
542402.591,6975501.339,Zona 2,-161.47804578242318,4937.6,16.8,76,22,3,5.5,3.7,33,74.1,6.1,2.0,8.4,0.13,7.1,2,54,15.5,False,False,False,-3.779151334209225,-1.2292912480836644,1.239923394470198,0.47426948846802325,1,1
542402.813,6975450.939,Zona 1,39.29353130552698,4973.67,14.97,71,26,3,5.6,4.3,27,183.3,8.3,2.5,11.3,0.0,6.4,0,64,17.6,True,False,False,-0.0028864130343177704,0.3133763398830052,2.9814496365795025,0.6568313129371168,0,0
542355.944,6975426.731,Zona 1,66.90660470851894,5525.2,22.89,66,31,3,5.7,3.8,41,128.7,8.3,2.7,11.3,0.0,5.4,0,68,16.7,True,False,False,0.9525009996843682,-0.3372824822017503,1.7736524963524603,1.777953968570689,0,0
542354.934,6975478.352,Zona 1,133.6960792267622,5369.07,21.09,68,29,3,5.8,4.2,38,226.2,9.0,3.2,12.8,0.0,4.8,0,73,17.6,True,False,False,2.0557551216177026,1.0936664089214807,2.391754241759802,0.8561535843184208,0,0
542354.903,6975527.09,Zona 1,41.92749029254715,4515.2,21.59,73,24,3,5.8,3.9,30,89.7,8.9,2.9,12.0,0.0,5.4,0,69,17.5,True,False,False,0.646156023962855,-0.10701865111483276,1.1758221086428509,0.6040795132534894,0,0
542358.818,6975572.491,Zona 1,117.02238969306113,3141.33,22.57,71,27,3,6.1,4.0,38,261.3,9.0,3.4,13.1,0.0,3.9,0,77,17.0,True,False,False,2.4291482988368456,1.273886527376389,-0.1660082453628416,-0.35965499066208706,0,0
542307.964,6975569.121,Zona 2,-48.368772561065086,4485.87,23.09,73,24,3,5.4,3.9,32,109.2,7.9,2.4,10.5,0.09,6.9,1,61,17.4,False,False,False,-1.7289365078127448,0.0777709225774677,1.7292247226643225,0.714199346520498,1,1
542302.562,6975522.617,Zona 1,12.909328551352012,5056.47,18.93,76,22,3,5.6,3.6,33,62.4,9.4,2.7,12.2,0.0,5.5,0,69,17.7,True,False,False,0.15438212269537013,-0.5001400175746807,1.4027935117072572,0.07595351922473378,0,0
542299.63,6975475.44,Zona 1,36.081256886860864,5180.87,17.59,71,26,3,5.4,4.1,48,128.7,8.7,2.5,11.5,0.04,7.1,0,62,18.7,True,False,False,-0.19874129594211637,0.5312156666282372,3.1305733075267823,0.6730165208648675,0,0
542299.681,6975432.573,Zona 1,124.23854280193564,3965.13,26.45,63,35,2,6.4,3.6,36,58.5,10.2,2.6,13.0,0.0,2.9,0,82,15.8,True,False,False,3.263306617563676,-1.4993889086803684,-1.3601789644694477,2.8567188747287546,0,0
542300.701,6975383.721,Zona 1,69.47236258492292,4347.4,24.09,66,32,3,6.5,3.6,34,117.0,8.6,2.4,11.3,0.0,3.4,0,77,14.8,True,False,False,1.9199306665725981,-1.0690503916568117,-0.9375423167717574,1.7556022412707297,0,0
542253.073,6975398.173,Zona 1,-8.675430339468942,4353.4,13.86,71,26,3,6.0,3.2,46,105.3,8.6,2.4,11.2,0.0,5.1,0,69,16.3,True,False,False,0.21144055620762633,-1.1433102941040463,-0.0570860672694451,0.1066119803975428,0,1
542252.856,6975450.124,Zona 1,142.4754824452512,4493.93,21.78,71,26,4,6.3,3.7,75,230.1,10.4,2.8,13.7,0.0,3.6,0,79,17.4,True,False,False,2.741717083367127,2.1258240474770185,0.4303285645642216,-1.157192991907542,0,0
542252.337,6975500.746,Zona 1,28.136946035981975,4982.27,14.24,71,26,3,5.8,3.6,56,137.15,9.0,2.45,11.48,0.01,5.07,0,69,17.0,True,False,False,0.48333087529512314,-0.278474610233226,1.2474072561420615,0.015730120044569543,0,0
